;2017;;;2018;;;2019;;;2020;;;2021;;;2022;;;2023;;
Barrio;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km;siniestros;siniestros/ha;siniestros/km
LA SIERRA;67;1.90;9.01;48;1.36;6.46;67;1.90;9.01;28;0.80;3.77;38;1.08;5.11;55;1.56;7.40;19;0.54;2.56
LA SIERRITA;57;0.87;3.76;25;0.38;1.65;36;0.55;2.37;27;0.41;1.78;19;0.29;1.25;8;0.12;0.53;10;0.15;0.66
LA UNION;103;1.98;10.31;121;2.32;12.11;110;2.11;11.01;43;0.82;4.31;62;1.19;6.21;82;1.57;8.21;29;0.56;2.90
LA VICTORIA;122;1.67;6.03;125;1.71;6.18;117;1.60;5.78;60;0.82;2.97;84;1.15;4.15;102;1.40;5.04;32;0.44;1.58
LAS AMERICAS;2;0.03;0.12;2;0.03;0.12;1;0.01;0.06;6;0.09;0.37;11;0.16;0.68;1;0.01;0.06;2;0.03;0.12
LAS CAYENAS;7;0.59;5.23;28;2.35;20.91;9;0.76;6.72;5;0.42;3.73;4;0.34;2.99;4;0.34;2.99;0;0.00;0.00
LAS COLINAS;4;0.52;1.77;2;0.26;0.88;2;0.26;0.88;2;0.26;0.88;6;0.78;2.65;10;1.29;4.42;0;0.00;0.00
LAS DELICIAS;236;3.59;18.91;243;3.70;19.47;195;2.97;15.62;112;1.70;8.97;89;1.35;7.13;86;1.31;6.89;23;0.35;1.84
LAS DUNAS;0;0.00;0.00;0;0.00;0.00;2;0.50;1.29;0;0.00;0.00;0;0.00;0.00;2;0.50;1.29;2;0.50;1.29
LAS ESTRELLAS;118;5.90;21.15;98;4.90;17.57;149;7.45;26.71;72;3.60;12.91;83;4.15;14.88;49;2.45;8.78;6;0.30;1.08
LAS FLORES;43;0.90;3.70;26;0.54;2.24;40;0.84;3.44;26;0.54;2.24;9;0.19;0.77;20;0.42;1.72;1;0.02;0.09
LAS GARDENIAS;6;0.25;1.61;2;0.08;0.54;2;0.08;0.54;4;0.17;1.07;1;0.04;0.27;2;0.08;0.54;0;0.00;0.00
LAS GRANJAS;13;0.32;3.31;16;0.39;4.08;12;0.29;3.06;23;0.56;5.86;22;0.54;5.61;22;0.54;5.61;2;0.05;0.51
LAS MALVINAS;20;0.31;1.10;16;0.24;0.88;19;0.29;1.04;14;0.21;0.77;16;0.24;0.88;16;0.24;0.88;4;0.06;0.22
LAS MERCEDES;16;1.79;9.22;23;2.57;13.25;20;2.23;11.52;20;2.23;11.52;6;0.67;3.46;27;3.02;15.55;0;0.00;0.00
LAS NIEVES;137;0.97;4.83;98;0.69;3.46;124;0.88;4.37;60;0.43;2.12;133;0.94;4.69;93;0.66;3.28;27;0.19;0.95
LAS PALMAS;40;0.77;2.87;53;1.02;3.81;35;0.67;2.51;17;0.33;1.22;16;0.31;1.15;36;0.69;2.59;9;0.17;0.65
LAS TERRAZAS;11;0.61;6.99;12;0.66;7.62;24;1.33;15.25;10;0.55;6.35;1;0.06;0.64;6;0.33;3.81;2;0.11;1.27
LAS TRES AVE MARIAS;2;0.14;0.56;25;1.76;6.98;17;1.20;4.75;4;0.28;1.12;6;0.42;1.68;8;0.56;2.23;0;0.00;0.00
LIMON;2;0.40;1.07;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;9;1.78;4.82;4;0.79;2.14;0;0.00;0.00
LIPAYA;8;0.42;2.15;0;0.00;0.00;0;0.00;0.00;0;0.00;0.00;5;0.26;1.34;0;0.00;0.00;0;0.00;0.00
LOMA FRESCA;22;2.60;8.12;8;0.95;2.95;15;1.77;5.54;6;0.71;2.22;8;0.95;2.95;10;1.18;3.69;4;0.47;1.48
